"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"SAHEB COLD STORAGE","SAHEB COLD STORAGE","6939607","SURVEY NO.1019, AT VILLAGE- CHANDISAR, NEAR GIDC, CHANDISAR,,","Banas Kantha","GUJARAT","6057","09-Jun-2024","08-Jun-2029","8758182021","Inactive",""
"sanjaybhai Nanjibhai kikani","Harsiddhi Warehouse","6779581","Survey No 168 Pagangnathpara,","Junagadh","GUJARAT","3446","12-Sep-2023","11-Sep-2028","9824892270","Active",""
"Satyam Warehouse","SATYAM WAREHOUSE","7096654","PLOT NO. 15, R S NO. 42 P/1, 42 P/2, BOMBAY SUPER INDUSTRIAL ZONE - 15, KUVADVA WANKANER ROAD","Rajkot","GUJARAT","3894","27-May-2025","26-May-2030","9898905990","Active",""
"SAVITRI DEVI","SAVITRIBEN TARACHAND MAHESHVARI","6738363","R S NO 1702(OLD, R S NO 456) . Village - TUNDAV , Taluka _- Unjha , District - MAHESANA, State-GUJRAT . Pin Code - 384170.","Mahesana","GUJARAT","6359","16-Jun-2023","15-Sep-2027","9825040860","Active",""
"SHILPABEN GORIYA","HIRA WAREHOUSE","7105380","RSN42/P1 & 42/P2, PLOT 07","Junagadh","GUJARAT","2781","23-Jun-2025","22-Dec-2026","9428775953","Active",""
"SHIV SHAKTI COLD STORAGE","SHIVSHAKTI COLD STORAGE.","6897938","SHIVSHAKTI COLD STORAGE , SURVEY NO 194 PAIKI, AT- , ZALANSAR, TAL & DIST , JUNAGADH, , Gujarat -362001,","Junagadh","GUJARAT","5940","30-Mar-2024","29-Mar-2029","9825095386","Active",""
"Shiv Warehouse","Shiv warehouse","6803522","Godown No.l & 2, Shiv Warehouse, Sardharka Road Dhamalpar, Wankaner, Morbi, Gujarat, 363621,","Rajkot","GUJARAT","12142","14-Nov-2023","13-Nov-2028","9426052523","Active",""
"Shree Krishna Cold Storage","Shree Krishna Cold Storage","6770671","Survey No 8/ A , Village - Sampa , Taluka - Dehegam Taluka - Dehgam, District: Gandhinagar , Gujarat - 382315","Gandhinagar","GUJARAT","15459","09-Aug-2023","08-Aug-2028","9327681373","Active",""
"Shree Shubham Logistics Limited","SHREE SHUBHAM LOGISTICS LIMITED C/O ASEEM EXPORTS WAREHOUSE,","3911640","GODOWN NO.05, AT JAY AGRO INDUSTRIES,, PLOT SN 587, VILLAGE-ALDESAN, KADI, NANDASAN ROAD, KADI, MAHESANA, GUJARAT.","Mahesana","GUJARAT","1924","23-Mar-2021","22-Mar-2026","7878362200","Inactive","EFFECTIVE CONTROL EXPIRED"
"Shree Shubham Logistics Limited","C/o Narendrabhai Raiyabhai Baldha HUF Warehouse,","4511039","Chamber 1&2,Plot No.52 &53, Tirupati Industries,, Patidad Road, Gundala, Taluka Gondal,","Rajkot","GUJARAT","1722","08-Feb-2024","07-May-2029","9825741143","Active",""
"Shree Shubham Logistics Limited","VARSHABEN JAYANTILAL MONPARA WAREHOUSE,","6577084","SURVEY NO. 136-P3/P3, PLOT NO.1+2/2,, PATIDAD ROAD, GUNDALA,","Rajkot","GUJARAT","2765","23-May-2022","22-May-2027","8320224545","Inactive","EFFECTIVE CONTROL EXPIRED"
"Shree Shubham Logistics Limited","GEETABEN NARANBHAI MONPARA WAREHOUSE","6707400","SURVEY NO.136-P3/P3, PLOT NO.1+2/1,, PATIDAD ROAD, AT GUNDALA,","Rajkot","GUJARAT","2849","10-Apr-2023","09-Apr-2028","9825741143","Inactive","EFFECTIVE CONTROL EXPIRED"
"Shree Shubham Logistics Limited","RITA AJIT JAIN WAREHOUSE,","7025018","GODOWN NO.01, SITUATED AT PLOT NO.01,, SURVEY NO.586, AT ALDESAN, KADI NANDASAN RAOD,","Mahesana","GUJARAT","1896","25-Feb-2025","24-Aug-2026","7878362200","Active",""
"Shree Shubham Logistics Limited","KALA BHARAT GANATRA WAREHOUSE,","7078835","SURVEY NO.146/1, 146/2 & 146/5, PLOT NO.26,, TIRUPATI INDUSTRIAL PARK, AT PATIDAD ROAD, NEAR, VILLAGE-GUNDALA,","Rajkot","GUJARAT","1289","28-Apr-2025","27-Oct-2026","7535880326","Active",""
"Shree Shubham Logistics Limited","Shree Shubham Logistics Limited C/o ICML Warehousing Private Limited,","4930022","Godown No.01 & 03, Survey No.377 Paiki 1/2,, Village- Pali","Mahesana","GUJARAT","5247","14-Jul-2023","10-Oct-2028","7600383375","Active",""
"Shree Shubham Logistics Limited","ANALBEN NAYANKUMAR PATEL WAREHOUSE","6850416","GODOWN NO.03, SURVEY NO.112, 120 AT ADUNDRA,, NEW REVENUE ADUNDRA, JOTANA ROAD, NEAR MAA SHAKTI WEIGHBRIDGE,","Mahesana","GUJARAT","4621","05-Feb-2024","04-Feb-2029","7878362200","Active",""
"Shree Shubham Logistics Limited","C/o Mrs. Gosvami Ketanaben, Gurudev Agro, Godown No.02, Survey No.377,","6071038","Paiki 1/2, Village- Pali, Taluka- Unjha,, District- Mahesana, Gujarat.","Mahesana","GUJARAT","2723","30-Mar-2024","16-Jun-2029","7600383375","Active",""
"Shree Shubham Logistics Limited","KHIMJI VISRAM LOGISTICS PVT.LTD.","6871388","168, 1, B,, VILLAGE-RANGPURDA","Mahesana","GUJARAT","4847","25-Feb-2024","24-Feb-2029","7878362200","Active",""
"Shree Shubham Logistics Limited","JAYESHBHAI VITTHALBHAI RADADIYA WAREHOUSE","6717037","SITUATED AT S.NO.176/2, KHATA NO.541,, VILLAGE-HADAMTALA.","Rajkot","GUJARAT","4675","15-May-2023","14-May-2028","9825741143","Active",""
"Shree Shubham Logistics Limited","RAJENDRAPURI BALDEVPURI GOSWAMI WAREHOUSE,","6769863","SITUATED AT GURUDEV AGRO, SURVEY NO.377/2/2,, AT PALI,","Mahesana","GUJARAT","2225","07-Aug-2023","06-Aug-2028","7878362200","Active",""
"Shree Shubham Logistics Limited","MANJU LAXMICHAND BHANDARI,","7093594","GODOWN NO.02, SITUATED AT PLOT NO.02, SURVEY NO. 586,, AT ALDESAN, KADI - NANDASAN ROAD,","Mahesana","GUJARAT","1896","23-May-2025","22-Nov-2026","7878362200","Active",""
