"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"C R PRIME FOODS INTERNATIONAL PVT LTD","C R Prime Foods International pvt. Ltd","7107725","E-5A, RICCO Industrial Area, Nokha, Bikaner, Rajasthan","Bikaner","RAJASTHAN","5430","30-Jun-2025","29-Jun-2030","8233482270","Active",""
"Central Warehousing Corporation","CW CHOMU","4311640","CW, Via Udaipuriya,P.O.Bhopawas, Th. Chomu, Distt. Jaipur,","Jaipur","RAJASTHAN","63876","09-Oct-2024","14-Dec-2029","9023769624","Active",""
"Central Warehousing Corporation","Central Warehousing Corporation, Jhunjhunu","1000538","Plot no. SP-287, RIICO Industrial Area, Phase -II,","Jhunjhunun","RAJASTHAN","22454","01-Sep-2023","05-Sep-2028","8559890885","Active",""
"Central Warehousing Corporation","CENTRAL WAREHOUSE NAGAUR","3711641","CW, Near All India Radio, Basani Road Nagaur,","Nagaur","RAJASTHAN","9868","19-Mar-2021","18-Mar-2026","9694203912","Active",""
"Central Warehousing Corporation","Central Warehousing Corporation, Shrimadhopur","1000207","Sikar,","Sikar","RAJASTHAN","20580","10-Aug-2023","18-Aug-2028","9414869347","Active",""
"Central Warehousing Corporation","Central Warehousing Corporation - Deoli","1000439","SPL - 4, RIICO Industrial Area,,","Tonk","RAJASTHAN","19010","01-Sep-2023","05-Sep-2028","8696618648","Active",""
"Central Warehousing Corporation","CW SRIGANGANAGAR-II","6944193","UDYOG VIHAR, PLOT NO E-194 TO 202, SRIGANGANAGAR,","Ganganagar","RAJASTHAN","33000","14-Jun-2024","13-Jun-2029","8094700013","Active",""
"Central Warehousing Corporation","CW KOTA-II","6931059","ROAD NO-1, IPIA, NEAR DAKANIYA RAILWAY STATION","Kota","RAJASTHAN","45000","16-May-2024","15-May-2029","9713743244","Active",""
"Central Warehousing Corporation","CENTRAL WAREHOUSE-I SRIGANGANAGAR","6937536","KARNI MARG, NEAR POWER HOUSE","Ganganagar","RAJASTHAN","26945","03-Jun-2024","02-Jun-2029","8094700013","Active",""
"Central Warehousing Corporation","CW BHARATPUR","4591649","Plot no. G-162 to 165&F-166 to 171 brij industries area behind Nafed plant phase II hathniroad,Bharatpur321301,","Bharatpur","RAJASTHAN","13991","21-Oct-2024","16-Dec-2029","7891923674","Active",""
"Central Warehousing Corporation","CW KOTPUTLI","4611652","CW, Near cement factory, vill. Ramsinghpuragopalpura road, Kotputli, Distt. Jaipur,","Jaipur","RAJASTHAN","16038","18-Nov-2024","16-Dec-2029","9799474707","Active",""
"Central Warehousing Corporation","CW SITAPURA-II","5051657","P.N. SP-1, RIICO Indus. Area, Sitapura, Jaipur-302022,","Jaipur","RAJASTHAN","66762","18-Oct-2024","28-Dec-2029","9460789810","Active",""
"Central Warehousing Corporation","Central Warehousing Corporation - Bikaner - I","1000421","Behind Sabji Mandi Pugal Road,","Bikaner","RAJASTHAN","24840","10-Aug-2023","25-Sep-2028","9672286376","Active",""
"Central Warehousing Corporation","Central Warehousing Corporation, Sikar","1000215","Sikar,","Sikar","RAJASTHAN","17000","10-Aug-2023","09-Aug-2028","9729834524","Active",""
"Central Warehousing Corporation","CW KOTA-I","6958508","DCM Road Near Aerodrum Circle, Opp. RTO","Kota","RAJASTHAN","8770","12-Jul-2024","11-Jul-2029","9413182085","Active",""
"Central Warehousing Corporation","CW Bagar","7027170","Ward No. 4, Bagar-Makhar Road,","Jhunjhunun","RAJASTHAN","14855","28-Feb-2025","27-Feb-2030","9672286376","Active",""
"Central Warehousing Corporation","CENTRAL WAREHOUSE CHAKSU","6716047","Godown No 2, Warehouse at 1,, Nimodiya, Chaksu, Jaipur","Jaipur","RAJASTHAN","6295","12-May-2023","11-May-2028","9023769624","Inactive","EFFECTIVE CONTROL EXPIRED"
"Central Warehousing Corporation","CW HANUMANGARH-II","6928626","Plot no. SPL-1 to 4, RIICO Industrial Area, Phase-II","Hanumangarh","RAJASTHAN","47840","15-May-2024","14-May-2029","9414502648","Active",""
"Central Warehousing Corporation","Central Warehousing Corporation, Bikaner - II","1000413","Opposite Engineering Collage Karni Industrial Area, Phase - II,,","Bikaner","RAJASTHAN","33640","29-Aug-2023","16-Dec-2027","9041858729","Active",""
"Central Warehousing Corporation","CW CHURU","7102320","KANAK COMPLEX , KHATA NO. 37, KHASRA NUMBER 454/222, KHARIYA, CHURU,","Churu","RAJASTHAN","6984","09-Jun-2025","08-Jun-2030","8290631551","Active",""
"Central Warehousing Corporation","CENTRAL WAREHOUSE, SADULPUR","6713523","Khasra No. 15, Village Ludi Kumba,Gulpura, Tehsil Rajgarh, District Churu(Raj.)","Churu","RAJASTHAN","16940","01-May-2023","30-Apr-2028","9829446118","Inactive","EFFECTIVE CONTROL EXPIRED"
"Central Warehousing Corporation","CW Nagaur-II","6994503","Khasra No. 311/214, Rohi-Chimrani, Teh. Mundawa","Nagaur","RAJASTHAN","10159","13-Nov-2024","12-Nov-2029","9694203912","Active",""
"Central Warehousing Corporation","CW HANUMANGARH-I","6959134","Sector-8, Opp. Dhan Mandi","Hanumangarh","RAJASTHAN","20700","18-Jul-2024","17-Jul-2029","9414502648","Active",""
"Central Warehousing Corporation","CW BARAN","4691648","Sp.no.01, RIICO Indl.area, Kota-Baran, Baran 325205,","Baran","RAJASTHAN","50911","09-Oct-2024","18-Dec-2029","9413182085","Active",""
"Central Warehousing Corporation","Central Warehouse , Malakhera (Alwar)","7059579","KH. No. 2276-77 , Haldina- MIA Road , Malakhera, Alwar - 304106,","Alwar","RAJASTHAN","8035","28-Mar-2025","27-Mar-2030","9799474707","Active",""
"Central Warehousing Corporation","CW KOTAIII","5751671","CW, P.N.SP.-1,KuberIndus.Area, Ranpur, Kota-III,","Kota","RAJASTHAN","35000","31-Jan-2025","30-Jan-2030","9773790074","Active",""
"Chandra Shekhar","Shri Ram Warehouse","6650253","Khasra No. 119/1, 119/6, Village Chopasni Charnan, Tehsil Tinwari,","Jodhpur","RAJASTHAN","5565","09-Nov-2022","08-Nov-2027","9414163932","Active",""
"Charnpreet Kaur","Naman Agro Food Corporation","6976773","Godown at Kila No. 11 (Part), 12 (Part), 13 (Part), 14 (Part) & 15 (Part), Murba No. 45 Stone No. 186/413 Sri Vijay Nagar-Rai Singh Nagar Road Chak 29 GB A Sri Vijay Nagar","Ganganagar","RAJASTHAN","9600","12-Sep-2024","11-Mar-2029","9414514818","Active",""
"Chuki Devi","M/s Shiv Shakti Warehouse","6715593","Khasra No 815/450, Village & Tehsil Tinwari,","Jodhpur","RAJASTHAN","6761","10-May-2023","09-May-2028","9828509700","Active",""
"DARSHNA DEVI","DARSHNA DEVI","6542435","CHAK 12 SBN, VILLAGE NAGRANA","Hanumangarh","RAJASTHAN","12500","23-Nov-2021","22-Aug-2026","9166506508","Active",""
"Deepika Janwani","Divyansh Warehouse","6776884","Block No 2, Khasra No 71/3 & 71/4, Village Basni Benda","Jodhpur","RAJASTHAN","6838","29-Aug-2023","28-Aug-2028","9829027570","Active",""
"DEVA RAM","Shiv Shankar Warehouse","6715866","Khasra No. 719/382 (Old), 865/836 & 834/719 ( New), Village Kumprawas,, Kumpras Chhapari Khurd, Tehsil Merta Road,","Nagaur","RAJASTHAN","2983","10-May-2023","09-May-2028","9636370060","Active",""
"DEVENDRA PATIDAR","New Shree Ram Warehouse","6710461","Village-Post, Sidhpura, Pratapgarh","Pratapgarh","RAJASTHAN","3120","19-Apr-2023","18-Jan-2028","8619083788","Active",""
"DEVI DAGA","Pawan Putra Warehouse","6712988","Khasra No. 97/12, 97/14, 97/17, Village Bhaiserkutri, Tehsil Tinwari,","Jodhpur","RAJASTHAN","2336","28-Apr-2023","27-Apr-2028","9928538301","Active",""
"Dhan Raj","M/s Kisturi Warehouse","6681126","Khasra No.1397/114, Gram Lalawas, Tehsil Khinwsar,","Nagaur","RAJASTHAN","6662","09-Feb-2023","08-Feb-2028","9783733333","Inactive","EXPIRED INSURANCE"
"Dhanni Devi","SHREE LUMBA RAM WAREHOUSE","6569974","KHASRA NO 209/5,VILLAGE - LOHAWAT, BISNAWAS,","Jodhpur","RAJASTHAN","3333","20-Apr-2022","19-Apr-2027","9772987353","Active",""
"DHURARAM KULHARIA","Dhuraram Kulharia Warehouse","6808208","khasra no 2385/1755 , PLOT NO 2058/2057, Rohi Charakara , Nokha","Bikaner","RAJASTHAN","3336","30-Nov-2023","29-Nov-2028","9982000468","Active",""
"DINESH DOSHI","KK WAREHOUSE","6816219","Araji No.86/63, 87/83, 49/3, and 49/5, Vill -Devliya, Pratapgarh Road,, DHARIYAWAD","Pratapgarh","RAJASTHAN","3300","15-Dec-2023","14-Dec-2028","8003683151","Active",""
"Durga Ram","Siddharth Roj Warehouse","7049406","Khasra No.471/1, Village Dangiyawas, Tehsil & District Jodhpur","Jodhpur","RAJASTHAN","10640","25-Mar-2025","24-Mar-2030","9929216397","Active",""
"Gajendra Sankhla","M/s Vedarth International","6662043","Khasra No.874/12, By Pass Road, Village Mathania, Tehsil Tinwari,","Jodhpur","RAJASTHAN","4208","12-Dec-2022","11-Dec-2027","9829429239","Active",""
"GANESH ENTERPRISES","GANESH ENTERPRISES","6534424","PLOT NO E 2-3-4 Phase 2nd, RIICO PHASE II SANGARIA","Hanumangarh","RAJASTHAN","11083","29-Sep-2021","28-Sep-2026","9414093228","Active",""
"GANESH GOYAL","Ganesh & Company","6540637","Plot No. G-36,39,40 Phase 2nd RIICO Industrial Area Sangaria,","Hanumangarh","RAJASTHAN","3214","09-Nov-2021","08-Nov-2026","9587152000","Active",""
"GAURAV GOYAL","GOYAL LOGISTICS","6738637","KILLA NO. 23/4, SQUARE NO. 28, CHAK 47 LNP IInd, Beenjhbayla To pakka Sahrna Road","Ganganagar","RAJASTHAN","1021","16-Jun-2023","15-Jun-2028","9782191111","Inactive","EXPIRED/INSUFFICIENT INSURANCE"
"Geeta Geeta","Geeta Devi Parihar","6637201","khasra No. 119/10,Village Chopasni Charnan, tehsil Tinwari,","Jodhpur","RAJASTHAN","4995","28-Sep-2022","27-Sep-2027","9414163932","Inactive",""
"Ghanshyam Agarwal","M/s Agarwal International","6730261","Block No. 1-B, Khasra No. 243, Village Salawas, Tehsil Luni","Jodhpur","RAJASTHAN","3002","06-Jun-2023","05-Jun-2028","9413662236","Active",""
"Gomi Devi","VIJAY LAXMI AGRI WAREHOUSE","6547830","KH.NO 218,219 & 220 VILL CHAUPASNI CHARANA TEH OSIAN,","Jodhpur","RAJASTHAN","5952","29-Dec-2021","28-Dec-2026","9414802790","Active",""
"Gopal Sharma","GOPAL KRISHAN SHARMA","7086390","KHASRA NO. 887/1077/1, 900, 903/1, 883/1076 VILLAGE JHEERA, TEHSIL CHOMU, JAIPUR, RAJASTHAN - 303712","Jaipur","RAJASTHAN","4892","09-May-2025","08-May-2030","9829068809","Active",""
"GOVIND SINGH","Govind Krishak Bhandar","7102866","Khasra No.1577, Agheya Road, Kumher","Bharatpur","RAJASTHAN","1735","11-Jun-2025","10-Jun-2030","9784690917","Active",""
"GUDDI DEVI","Balaji warehouse -2","6814958","SHUBHAM DHARM KATE KE PASS BAIPASS ROAD MATHANIYA,","Jodhpur","RAJASTHAN","3737","13-Dec-2023","12-Dec-2028","9928157589","Active",""
"GUDDI DEVI","BALAJI WAREHOUSE","5991643","KHASRA NO 895/2 , Village Mathania,","Jodhpur","RAJASTHAN","3224","12-Jul-2021","11-Jul-2026","9928157589","Active",""
"Gunjan Gunjan","G. Baghla Logistics","6674196","Killa No. 4,7 & 14 & Road in Part of Killa No. 17 & 24, SQ. No. 12 Chak 33 GB, Teshil Sri Vijaynagar","Ganganagar","RAJASTHAN","7021","17-Jan-2023","16-Apr-2026","9828312515","Active",""
"Gurmeet Sadhu","Malwa Agro Warehouse","6621098","14 BGD 6BLM VijayNagar,","Ganganagar","RAJASTHAN","7448","25-Aug-2022","24-Aug-2027","8058383580","Active",""
"HANSO DEVI","Maa Pitambra Warehouse","6643324","Pinahat Road,","Dhaulpur","RAJASTHAN","2500","20-Oct-2022","19-Oct-2027","9783860714","Active",""
"Hanumangarh Farmer Producer Company Limited","Hanumangarh Farmer Producer Company Limited","6549810","Chak 9 SSW Sy. No. 152/296, M. No. 13, K. No. 14/0.126, 15/0.253, 16/0.253, 17/0.127","Hanumangarh","RAJASTHAN","6825","17-Jan-2022","16-Jan-2027","9928892280","Active",""
"Harshvardhan Gupta","Budakiya Trading Company","6654123","Chak 12 ,2074 to 2077 Khata No 2074 to 2077,","Ganganagar","RAJASTHAN","6384","29-Nov-2022","28-Nov-2027","9314655555","Active",""
"HUKAM JAIN","P.P. INTERNATIONAL","6977581","KHASARA NO 598 VILLAGE KASAR, LADPURA KOTA,","Kota","RAJASTHAN","4002","17-Sep-2024","16-Sep-2029","9785089754","Active",""
"IFSA SEEDS PVT LTD","IFSA SEEDS PVT LTD.","6842850","G-47, CLUB, 3rd Phase, Agro Food Park RIICO, Ganganagar","Ganganagar","RAJASTHAN","4994","20-Jan-2024","19-Jan-2029","9414873465","Active",""
"Igaya Ram","Shree Ram Warehouse","6662498","Khasra No. 839, Jodhpur Mathania Bypass Road, Village Mathania, Tehsil Tinwari,","Jodhpur","RAJASTHAN","6505","12-Dec-2022","11-Dec-2027","8764032671","Active",""
"INDIAN WAREHOUSING CORPORATION LIMITED","INDIAN WAREHOUSING CORPORATION LIMITED","7033475","KHASRA NO. 679,680,683,689 NH 52, KOTA JHALAWAR ROAD NEAR VILL. KASAR KOTA,","Kota","RAJASTHAN","9917","06-Mar-2025","05-Mar-2030","7891517190","Active",""
