"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"Janhavi Promoters Private Limited","GARG LOGISTICS","9531645","71/2, GUT NUMBER 199,, BABHULGAON ROAD KUMBHARI","Akola","MAHARASHTRA","6295","01-Dec-2020","30-Nov-2025","7014452423","Inactive","EFFECTIVE CONTROL EXPIRED"
"Central Warehousing Corporation","CW Nanded ( Santosh Warehouse)","5491647","Block No 178, Bhaygaon Road, Tuppa Nanded","Nanded","MAHARASHTRA","24522","07-Jun-2021","06-Jun-2026","9960420107","Inactive","EFFECTIVE CONTROL EXPIRED"
"StarAgriWarehousing CollateralManagementLimited","Jai Warehousing Corporation","7043821","Godown No. - 3 & 4, Survey No. - 45/3, mangrulpri Road,, At. - Barshitakli","Akola","MAHARASHTRA","4182","21-Mar-2025","20-Mar-2030","9314058569","Inactive","EFFECTIVE CONTROL EXPIRED"
"LTC Commercial Company Private Limited","LTC Commercial Company Private Limited C/o Sau Archana Naresh Bhutada & Sau Sarikar Dinesh Bhutada","1002757","Godown No. 1 & 2, Gut No. 24, Vadali Satwai, Hiwarkhed Road, Akot,","Akola","MAHARASHTRA","4892","04-Aug-2022","20-Nov-2027","8003593441","Inactive","EFFECTIVE CONTROL EXPIRED"
"National Commodities Management Services Limited","SATGURU UDYOG","6997118","PLOT NO. C-20,MIDC,KARANJA ROAD, MURTIZAPUR 444107"",","Akola","MAHARASHTRA","3917","25-Nov-2024","24-May-2026","7387056402","Inactive","EFFECTIVE CONTROL EXPIRED"
"B T Kadlag Construction Private Limited","B T KADLAG CONSTRUCTION PVT LTD","6846901","Godown No 1 and 2,, Gat no 558, Nanegao, Palse","Nashik","MAHARASHTRA","7598","29-Jan-2024","28-Jan-2029","9822199469","Inactive",""
"Central Warehousing Corporation","Central Warehouse Gondia 2","3591665","B 28 29, Midc Mundipar","Gondiya","MAHARASHTRA","15000","17-Mar-2021","16-Mar-2026","7709192567","Inactive","EFFECTIVE CONTROL EXPIRED"
"LTC Commercial Company Private Limited","LTC Commercial Company Private Limited C/o Basant Agro Tech (India) Limited","1002732","Godown No. 1 & 2, Survey No. 82, Shivni, Shivapur,","Akola","MAHARASHTRA","2910","30-Nov-2022","29-Nov-2027","8003593441","Inactive","EFFECTIVE CONTROL EXPIRED"
"NATIONAL BULK HANDLING CORPORATION PRIVATE LIMITED","BASANT AGRO TECH INDIA LIMITED","7075500","GD NO 1, GUT NO 1,SURVEY NO 82/15/A, VILLAGE SHIVANI , OPP SHIVANI RAILWAY STATION , SHIVANI","Akola","MAHARASHTRA","4135","23-Apr-2025","22-Oct-2026","9082604027","Inactive","EFFECTIVE CONTROL EXPIRED"
"Shree Shubham Logistics Limited","SSL C/o Vishal Narendra Gupta Warehouse","4110014","Gut No.70, Mauze- Wadhadi Satwai,, Taluka- Akot","Akola","MAHARASHTRA","1591","16-Mar-2023","16-Jul-2028","8329572180","Inactive","EFFECTIVE CONTROL EXPIRED"
"mangrul kambe schedule cast seed producer compny ltd.","Buldana Urban Godown No 07","6111641","Buldana Urban Godown no 07 , Gat No 185, Hatgaon Tq Murtizapur","Akola","MAHARASHTRA","2000","20-Jul-2021","19-Jul-2026","7666497194","Inactive",""
"StarAgriWarehousing CollateralManagementLimited","Star Agri Warehousing & Collateral Management Limited C/o Ashwin Oil Mill Warehouse","1006576","Gut No. 47, Mouje Lakhmanpur, Taluka - Akot,","Akola","MAHARASHTRA","1727","24-Feb-2023","24-Mar-2028","9314058569","Inactive","EFFECTIVE CONTROL EXPIRED"
